accuracy	0.840274	0.846539	0.840716	0.845802	0.846613	0.848235	0.848014	0.847276	0.846613	0.847498	0.844402	0.845286	0.847203	0.840864	0.845655	0.846392	0.850077	0.849267	0.848824	0.843223	0.847498	0.842264	0.842412	0.841675	0.842338	0.847055	0.848603	0.847571	0.851552	0.842928	0.851773	0.846613	0.844476	0.846097	0.847866	0.845655	0.843370	0.844844	0.846908	0.847719	0.847424	0.842633	0.848456	0.846982	0.848898	0.846392	0.849488	0.845213	0.847276	0.845507	0.846125	0.002665
recall1	0.591533	0.605037	0.585224	0.600713	0.613038	0.598324	0.602629	0.589532	0.600361	0.593994	0.587941	0.596398	0.603119	0.592461	0.590963	0.589376	0.604540	0.595415	0.603949	0.591806	0.592515	0.580981	0.591482	0.580451	0.594840	0.594071	0.607024	0.600417	0.612653	0.599824	0.602173	0.606152	0.581297	0.605430	0.613185	0.581738	0.581818	0.610738	0.600959	0.589168	0.601551	0.590276	0.599218	0.600538	0.619148	0.596014	0.598153	0.586745	0.591512	0.585274	0.596634	0.009170
recall0	0.924275	0.926511	0.927436	0.926674	0.923017	0.929885	0.928376	0.933504	0.926653	0.929960	0.930166	0.928094	0.928796	0.922926	0.929629	0.930697	0.930522	0.932798	0.928893	0.925462	0.930771	0.928445	0.924167	0.926479	0.925463	0.931890	0.926345	0.928802	0.929914	0.924736	0.932417	0.924398	0.929575	0.923917	0.923963	0.933740	0.929299	0.923964	0.927168	0.932225	0.928138	0.926133	0.929401	0.927691	0.923069	0.927255	0.932125	0.931479	0.932573	0.933768	0.928272	0.003072
recall_macro	0.757904	0.765774	0.756330	0.763693	0.768028	0.764104	0.765502	0.761518	0.763507	0.761977	0.759054	0.762246	0.765957	0.757693	0.760296	0.760037	0.767531	0.764107	0.766421	0.758634	0.761643	0.754713	0.757824	0.753465	0.760152	0.762980	0.766684	0.764610	0.771283	0.762280	0.767295	0.765275	0.755436	0.764674	0.768574	0.757739	0.755559	0.767351	0.764063	0.760697	0.764844	0.758204	0.764310	0.764114	0.771109	0.761635	0.765139	0.759112	0.762043	0.759521	0.762453	0.004138
precision1	0.725125	0.731637	0.732435	0.729964	0.722594	0.736009	0.733721	0.747855	0.726810	0.733952	0.737911	0.734012	0.739005	0.717469	0.734664	0.736116	0.740307	0.744602	0.735251	0.721999	0.736509	0.728119	0.717613	0.719344	0.728284	0.745214	0.726186	0.734865	0.741423	0.728404	0.742188	0.721724	0.727444	0.720129	0.723366	0.745564	0.729993	0.730796	0.729189	0.739669	0.733188	0.725583	0.733800	0.731175	0.722085	0.725735	0.743428	0.740796	0.745266	0.749814	0.732567	0.008257
precision0	0.870138	0.876299	0.868207	0.875521	0.879404	0.876325	0.877057	0.871762	0.877057	0.875644	0.870971	0.873601	0.875012	0.872694	0.873308	0.873576	0.877781	0.875103	0.877645	0.873915	0.874908	0.870428	0.874110	0.871830	0.871812	0.872546	0.879882	0.876120	0.879793	0.872885	0.878849	0.878872	0.872870	0.878664	0.880476	0.869940	0.871202	0.875362	0.876849	0.874094	0.876479	0.872309	0.877154	0.876410	0.882457	0.876648	0.875851	0.871024	0.872540	0.869086	0.874849	0.003194
precision_macro	0.797632	0.803968	0.800321	0.802742	0.800999	0.806167	0.805389	0.809809	0.801933	0.804798	0.804441	0.803807	0.807008	0.795082	0.803986	0.804846	0.809044	0.809853	0.806448	0.797957	0.805709	0.799274	0.795862	0.795587	0.800048	0.808880	0.803034	0.805493	0.810608	0.800644	0.810518	0.800298	0.800157	0.799397	0.801921	0.807752	0.800597	0.803079	0.803019	0.806882	0.804834	0.798946	0.805477	0.803792	0.802271	0.801192	0.809640	0.805910	0.808903	0.809450	0.803708	0.004045
f1score1	0.651552	0.662342	0.650606	0.659061	0.663323	0.660063	0.661745	0.659323	0.657561	0.656598	0.654444	0.658088	0.664183	0.649000	0.655025	0.654624	0.665571	0.661704	0.663163	0.650452	0.656711	0.646281	0.648471	0.642477	0.654833	0.661114	0.661280	0.660872	0.670915	0.657891	0.664889	0.658908	0.646211	0.657817	0.663734	0.653541	0.647537	0.665395	0.658893	0.655896	0.660878	0.650973	0.659715	0.659449	0.666667	0.654509	0.662925	0.654832	0.659547	0.657404	0.657580	0.005895
f1score0	0.896390	0.900706	0.896845	0.900371	0.900682	0.902311	0.901987	0.901577	0.901173	0.901985	0.899596	0.900024	0.901102	0.897107	0.900589	0.901232	0.903382	0.903030	0.902542	0.898950	0.901976	0.898501	0.898442	0.898324	0.897836	0.901242	0.902515	0.901692	0.904159	0.898063	0.904841	0.901060	0.900331	0.900723	0.901696	0.900711	0.899313	0.899007	0.901307	0.902224	0.901569	0.898416	0.902522	0.901321	0.902307	0.901242	0.903113	0.900238	0.901558	0.900266	0.900762	0.001837
f1score_macro	0.773971	0.781524	0.773726	0.779716	0.782003	0.781187	0.781866	0.780450	0.779367	0.779291	0.777020	0.779056	0.782642	0.773054	0.777807	0.777928	0.784476	0.782367	0.782853	0.774701	0.779344	0.772391	0.773456	0.770401	0.776335	0.781178	0.781898	0.781282	0.787537	0.777977	0.784865	0.779984	0.773271	0.779270	0.782715	0.777126	0.773425	0.782201	0.780100	0.779060	0.781224	0.774694	0.781119	0.780385	0.784487	0.777875	0.783019	0.777535	0.780552	0.778835	0.779171	0.003662
mcc	0.554114	0.568461	0.554910	0.565088	0.568070	0.568718	0.569496	0.569282	0.564133	0.565155	0.561664	0.564525	0.571493	0.551509	0.562588	0.563103	0.575078	0.572133	0.571469	0.555200	0.565638	0.552192	0.552378	0.547434	0.558777	0.570015	0.568557	0.568635	0.580561	0.561616	0.576194	0.564487	0.553791	0.563000	0.569520	0.563275	0.554329	0.569310	0.565743	0.565696	0.568273	0.555659	0.568298	0.566519	0.572533	0.561435	0.573054	0.563080	0.569019	0.566775	0.564640	0.007043
spd	0.191351	0.184887	0.193888	0.183772	0.199007	0.189721	0.184704	0.175743	0.187374	0.190133	0.192066	0.191585	0.190705	0.188100	0.185051	0.177117	0.190409	0.179356	0.195484	0.185134	0.189297	0.187497	0.188619	0.178779	0.190940	0.185082	0.188310	0.181289	0.186503	0.199896	0.182135	0.193310	0.175219	0.196296	0.189782	0.184559	0.173195	0.191698	0.184554	0.188273	0.188062	0.188382	0.183635	0.189538	0.198418	0.183988	0.187234	0.183207	0.178886	0.179934	0.187042	0.005987
aod	0.110556	0.093709	0.113481	0.089585	0.113635	0.110253	0.091477	0.090983	0.096407	0.101367	0.113707	0.097247	0.109617	0.097392	0.104606	0.091713	0.107516	0.096416	0.107117	0.102010	0.129620	0.105552	0.107278	0.096670	0.104625	0.092166	0.101675	0.082905	0.085871	0.113730	0.076548	0.112779	0.060995	0.113909	0.108756	0.099985	0.096024	0.088785	0.100687	0.112748	0.095624	0.093604	0.090135	0.105655	0.118325	0.088981	0.101817	0.092932	0.078890	0.105268	0.100027	0.011942
eod	0.135150	0.107980	0.142076	0.096821	0.136999	0.141500	0.101937	0.109960	0.108000	0.119649	0.143274	0.108899	0.144332	0.104697	0.126969	0.108795	0.131637	0.119431	0.130760	0.119935	0.185512	0.126564	0.132324	0.111359	0.126276	0.110816	0.116441	0.089443	0.091939	0.139173	0.076101	0.135845	0.045051	0.141612	0.134991	0.120388	0.120732	0.090895	0.118582	0.141961	0.116567	0.104078	0.099190	0.132059	0.151366	0.093956	0.124632	0.103808	0.080336	0.137259	0.118761	0.022728
erd	0.115127	0.111838	0.118241	0.116202	0.115727	0.110223	0.115599	0.107564	0.117647	0.118924	0.114427	0.121706	0.107545	0.121431	0.112446	0.110898	0.111370	0.107516	0.117239	0.114818	0.100041	0.118606	0.114466	0.115434	0.116345	0.114798	0.113931	0.115468	0.115581	0.119269	0.119497	0.113574	0.129372	0.114618	0.108022	0.116749	0.106339	0.120812	0.111221	0.112205	0.113996	0.122277	0.116899	0.112034	0.109361	0.119818	0.112730	0.118275	0.118881	0.104692	0.114636	0.005071
